tanggal,lintang,bujur,kedalaman,magnitudo,class
2024-01-21 00:31:39,-8.9,123.8007,97.5,3.85,Lemah
2024-01-21 01:10:56,-8.68,118.99418,98.6,2.82,Lemah
2024-01-21 09:08:40,-10.38,120.20655,15.9,3.35,Lemah
2024-01-21 09:38:47,-7.58,128.76584,157.9,4.95,Sedang
2024-01-21 09:56:31,0.21,122.53956,126.0,3.23,Lemah
2024-01-21 10:03:17,0.17,122.8597,227.2,3.81,Lemah
2024-01-21 10:16:53,0.3,126.62378,23.3,3.79,Lemah
2024-01-21 12:40:46,0.54,100.72348,249.6,4.07,Sedang
2024-01-21 13:30:05,-8.33,116.22197,18.9,2.87,Lemah
2024-01-21 13:37:53,-10.03,119.7506,10.0,3.44,Lemah
2024-01-21 13:43:42,3.8,126.13323,50.9,4.19,Sedang
2024-01-21 16:55:51,-6.36,104.87187,10.0,3.22,Lemah
2024-01-21 18:21:26,-10.03,119.75332,10.0,3.2,Lemah
2024-01-21 19:03:17,-8.24,119.2561,10.0,3.09,Lemah
2024-01-21 19:18:01,-2.45,121.01365,10.0,2.89,Lemah
2024-01-21 20:07:11,-9.82,116.54455,10.0,4.11,Sedang
2024-01-21 20:16:43,-9.18,123.72229,61.0,3.92,Lemah
2024-01-21 20:44:42,-1.09,121.49235,10.0,2.75,Lemah
2024-01-21 20:47:19,-1.08,121.49802,10.0,3.26,Lemah
2024-01-21 21:29:44,-9.3,112.92667,10.0,4.06,Sedang
2024-01-22 00:49:33,-7.74,112.25114,172.8,3.24,Lemah
2024-01-22 04:02:22,-10.44,120.18613,10.0,5.06,Sedang
2024-01-22 04:12:45,-10.34,120.23195,10.1,4.24,Sedang
2024-01-22 07:50:26,1.8,99.1075,10.0,2.91,Lemah
2024-01-22 08:20:00,-8.53,112.38939,116.9,4.38,Sedang
2024-01-22 12:02:22,5.28,125.50134,169.7,4.59,Sedang
2024-01-22 12:32:32,-8.95,124.04144,59.3,3.24,Lemah
2024-01-22 13:08:17,-10.15,124.01099,10.0,2.82,Lemah
2024-01-22 13:09:55,-4.66,121.3232,10.0,2.86,Lemah
2024-01-22 16:13:43,-9.96,119.74693,10.0,4.62,Sedang
2024-01-22 19:02:36,5.14,94.88966,16.7,3.65,Lemah
2024-01-22 19:15:33,-2.44,120.86028,10.0,2.94,Lemah
2024-01-22 20:48:47,-8.36,119.70883,164.7,3.88,Lemah
2024-01-22 21:25:12,-0.76,124.49246,10.0,4.17,Sedang
2024-01-22 21:25:12,-0.76,124.49246,10.0,4.17,Sedang
2024-01-22 22:47:14,5.41,111.46992,609.2,4.73,Sedang
2024-01-23 03:44:09,-8.51,108.52643,10.0,3.7,Lemah
2024-01-23 04:07:22,-3.93,133.81033,10.0,5.15,Sedang
2024-01-23 04:41:38,0.6,126.64046,25.9,3.51,Lemah
2024-01-23 06:06:56,2.13,98.97079,118.6,3.01,Lemah
2024-01-23 09:05:02,-1.44,100.50053,53.1,4.14,Sedang
2024-01-23 09:50:24,-10.19,124.03372,11.5,3.46,Lemah
2024-01-23 09:54:41,-0.67,135.76483,13.5,4.33,Sedang
2024-01-23 10:49:01,-9.09,118.97775,80.6,3.52,Lemah
2024-01-23 11:38:40,-1.42,126.36563,10.0,4.1,Sedang
2024-01-23 12:04:05,-10.15,124.08056,20.8,2.88,Lemah
2024-01-23 13:04:38,-10.02,123.74544,35.7,3.25,Lemah
2024-01-23 13:31:42,0.37,122.21452,112.8,2.48,Lemah
2024-01-23 14:00:00,-6.34,104.89237,10.0,3.47,Lemah
2024-01-23 15:55:45,-5.06,102.26159,10.0,4.06,Sedang
2024-01-23 16:20:07,-1.07,121.47501,10.0,2.56,Lemah
2024-01-23 16:23:54,-10.11,123.99837,10.0,2.69,Lemah
2024-01-23 16:48:30,-8.79,119.43645,92.6,3.28,Lemah
2024-01-23 17:39:06,-2.43,121.21317,10.0,3.1,Lemah
2024-01-23 18:17:19,-10.22,124.07918,14.7,2.93,Lemah
2024-01-23 18:25:36,-9.61,124.08825,10.0,2.9,Lemah
2024-01-23 18:25:37,-9.6,124.06673,10.0,2.81,Lemah
2024-01-23 18:58:38,-3.07,102.86472,203.5,3.93,Lemah
2024-01-23 21:40:31,4.21,125.83433,750.0,4.63,Sedang
2024-01-23 21:45:28,-1.39,126.35679,10.0,4.0,Sedang
2024-01-23 23:28:51,-9.27,118.14425,13.4,3.22,Lemah
2024-01-23 23:32:02,-1.08,121.49767,10.0,3.8,Lemah
2024-01-24 00:54:22,1.35,126.26448,28.3,3.26,Lemah
2024-01-24 01:29:45,-6.22,130.32045,131.9,5.59,Sedang
2024-01-24 03:29:15,-9.77,119.00934,50.1,3.16,Lemah
2024-01-24 03:59:02,-2.98,100.64262,14.2,3.47,Lemah
2024-01-24 05:51:56,5.57,127.01224,110.7,4.33,Sedang
2024-01-24 07:31:10,-0.19,101.27155,60.5,3.62,Lemah
2024-01-24 07:44:35,2.65,95.74957,13.7,3.83,Lemah
2024-01-24 08:05:31,-10.05,123.7616,57.6,2.85,Lemah
2024-01-24 09:22:25,3.64,126.87823,15.6,3.56,Lemah
2024-01-24 09:33:48,-9.51,119.62822,52.4,4.1,Sedang
2024-01-24 13:49:22,-9.07,107.23343,10.2,4.65,Sedang
2024-01-24 14:39:19,-4.08,141.46466,67.4,5.0,Sedang
2024-01-24 17:37:20,-8.35,116.87688,10.0,4.21,Sedang
2024-01-24 18:21:02,3.67,123.52126,476.9,4.27,Sedang
2024-01-24 18:49:17,-4.29,131.1041,55.2,4.03,Sedang
2024-01-24 18:55:45,-0.33,119.84041,10.0,2.26,Lemah
2024-01-24 19:05:26,-7.06,107.08167,10.0,2.08,Lemah
2024-01-24 21:04:03,-10.0,118.89933,10.0,2.95,Lemah
2024-01-24 21:04:03,-10.0,118.89933,10.0,2.78,Lemah
2024-01-24 21:10:27,-10.18,123.97443,10.0,2.92,Lemah
2024-01-24 21:10:56,-0.12,123.42096,132.5,2.75,Lemah
2024-01-24 21:55:01,-10.14,124.0276,10.0,2.86,Lemah
2024-01-24 22:01:23,-10.18,124.06364,15.1,2.92,Lemah
2024-01-24 22:10:48,2.13,124.89904,228.9,4.34,Sedang
2024-01-24 22:15:11,-10.18,124.02348,10.0,3.13,Lemah
2024-01-25 01:38:09,1.41,121.33917,10.1,2.88,Lemah
2024-01-25 05:07:05,-2.24,140.49191,10.0,3.7,Lemah
2024-01-25 05:51:38,-10.2,124.02821,10.0,3.52,Lemah
2024-01-25 06:50:21,-9.68,119.8142,33.4,3.15,Lemah
2024-01-25 07:04:16,2.49,126.89266,10.0,3.61,Lemah
2024-01-25 08:03:17,-10.18,123.99569,10.0,3.65,Lemah
2024-01-25 11:07:42,-0.59,122.29034,10.0,4.01,Sedang
2024-01-25 11:17:15,-0.6,122.27905,10.0,2.79,Lemah
2024-01-25 11:32:23,-0.62,122.25623,10.0,4.77,Sedang
2024-01-25 11:56:05,-0.74,122.20226,10.0,3.37,Lemah
2024-01-25 12:03:44,-8.21,121.1311,10.0,3.91,Lemah
2024-01-25 12:12:40,-0.69,122.16349,10.0,2.81,Lemah
2024-01-25 12:24:14,-8.26,121.16683,10.0,5.34,Sedang
2024-01-25 12:37:02,-9.13,121.22118,56.5,3.29,Lemah
2024-01-25 12:38:13,-8.26,121.19356,10.0,3.88,Lemah
2024-01-25 12:44:37,-8.76,121.23766,10.0,3.4,Lemah
2024-01-25 12:47:33,-8.1,121.20679,13.0,3.64,Lemah
2024-01-25 12:53:03,-10.49,123.8129,15.4,3.19,Lemah
2024-01-25 13:00:58,-8.24,121.15997,10.0,3.12,Lemah
2024-01-25 13:06:38,-8.37,121.19598,26.7,2.83,Lemah
2024-01-25 13:11:29,-8.61,121.20361,10.0,2.66,Lemah
2024-01-25 13:15:19,-8.25,121.16148,10.0,3.03,Lemah
2024-01-25 13:17:27,-8.25,121.17023,10.0,2.86,Lemah
2024-01-25 13:26:28,-8.25,121.20203,10.0,3.08,Lemah
2024-01-25 13:53:33,-8.22,121.18767,10.0,3.33,Lemah
2024-01-25 13:57:31,-8.22,121.19405,10.0,3.27,Lemah
2024-01-25 14:07:40,-8.2,121.19752,10.0,2.86,Lemah
2024-01-25 14:21:48,-8.29,121.19417,10.2,3.35,Lemah
2024-01-25 14:24:01,-8.38,121.16671,14.2,2.74,Lemah
2024-01-25 14:34:09,-8.29,121.17638,10.0,3.68,Lemah
2024-01-25 14:41:28,-9.06,115.70957,102.1,4.87,Sedang
2024-01-25 14:50:06,-8.27,121.1843,10.0,2.97,Lemah
2024-01-25 14:52:05,-8.85,115.67291,91.8,3.07,Lemah
2024-01-25 15:02:53,-6.86,105.24113,25.7,3.7,Lemah
2024-01-25 15:03:49,-8.3,121.15651,10.0,3.24,Lemah
2024-01-25 15:28:41,-8.28,121.16643,10.0,2.88,Lemah
2024-01-25 16:04:40,-8.33,121.17155,18.4,2.93,Lemah
2024-01-25 16:27:43,-8.23,121.17262,10.5,3.45,Lemah
2024-01-25 16:42:45,-8.27,121.14871,10.0,3.77,Lemah
2024-01-25 17:33:42,-8.24,121.16827,10.0,3.2,Lemah
2024-01-25 17:40:12,-1.99,134.26666,10.0,3.21,Lemah
2024-01-25 18:29:45,0.92,120.23193,106.0,5.2,Sedang
2024-01-25 18:37:47,-8.36,121.19446,21.0,2.44,Lemah
2024-01-25 18:39:00,-3.03,139.80333,104.3,4.65,Sedang
2024-01-25 18:52:43,-10.18,124.04275,10.0,3.6,Lemah
2024-01-25 18:56:18,-8.27,121.19898,10.6,2.9,Lemah
2024-01-25 19:06:23,-8.28,121.17772,26.9,3.0,Lemah
2024-01-25 19:39:05,-7.32,107.6451,10.0,1.71,Lemah
2024-01-25 22:05:13,-8.34,121.18884,19.2,3.27,Lemah
2024-01-25 22:13:06,-8.36,121.18137,22.4,3.26,Lemah
2024-01-25 22:48:50,-8.21,121.18314,10.0,3.63,Lemah
2024-01-26 00:03:22,-8.26,121.16734,10.0,3.63,Lemah
2024-01-26 01:37:43,-6.73,106.54259,10.1,2.56,Lemah
2024-01-26 01:41:51,-8.31,121.1937,14.1,2.87,Lemah
2024-01-26 01:46:09,-8.31,121.18844,14.5,3.03,Lemah
2024-01-26 02:52:02,-0.05,123.47866,115.8,3.21,Lemah
2024-01-26 02:55:23,-8.36,121.201,23.8,3.24,Lemah
2024-01-26 02:58:15,-8.22,121.20998,10.0,3.15,Lemah
2024-01-26 03:51:01,-7.34,106.35339,32.1,3.3,Lemah
2024-01-26 04:26:57,-8.3,121.16193,19.6,2.4,Lemah
2024-01-26 04:32:50,-7.84,118.97943,34.9,3.04,Lemah
2024-01-26 04:45:49,-8.36,116.4499,11.8,2.82,Lemah
2024-01-26 04:51:51,-8.33,121.18594,16.0,2.28,Lemah
2024-01-26 04:53:21,-8.33,121.1898,15.8,2.37,Lemah
2024-01-26 04:54:46,-10.13,124.06013,12.7,2.72,Lemah
2024-01-26 05:06:51,-5.87,105.94096,190.5,2.68,Lemah
2024-01-26 05:16:21,-10.28,124.19742,32.1,3.12,Lemah
2024-01-26 05:21:47,-8.23,121.16491,14.4,2.58,Lemah
2024-01-26 05:42:42,-6.78,106.50393,10.0,2.28,Lemah
2024-01-26 05:52:50,-8.0,107.20648,20.8,2.79,Lemah
2024-01-26 06:02:48,-8.19,121.14292,10.0,3.26,Lemah
2024-01-26 06:27:13,-8.32,121.17457,10.0,2.37,Lemah
2024-01-26 06:30:32,-9.19,123.75226,58.6,2.8,Lemah
2024-01-26 06:38:21,-8.38,121.14657,17.4,2.16,Lemah
2024-01-26 07:04:30,-8.23,121.15486,10.0,2.84,Lemah
2024-01-26 07:11:26,-8.23,121.15436,11.0,2.98,Lemah
2024-01-26 07:17:24,-8.21,108.17239,14.8,2.78,Lemah
2024-01-26 07:50:04,-9.23,118.64902,57.0,2.96,Lemah
2024-01-26 07:59:23,-1.59,99.333,10.0,3.16,Lemah
2024-01-26 08:02:16,-8.17,121.19986,10.0,4.07,Sedang
2024-01-26 11:54:12,-7.16,107.74377,12.3,2.41,Lemah
2024-01-26 16:18:56,-8.5,121.28932,36.0,2.51,Lemah
2024-01-26 16:51:45,2.58,98.62434,5.0,2.82,Lemah
2024-01-26 16:52:47,-0.44,121.83372,13.9,3.87,Lemah
2024-01-26 16:55:47,-0.13,122.93269,121.5,3.0,Lemah
2024-01-26 17:06:01,-3.29,101.55664,31.0,2.96,Lemah
2024-01-26 17:22:58,-4.74,103.50684,88.4,2.98,Lemah
2024-01-26 18:31:53,-2.61,129.59419,11.6,3.45,Lemah
2024-01-26 18:52:44,-4.17,135.5352,38.7,3.77,Lemah
2024-01-26 21:00:11,-7.99,110.44807,10.0,2.5,Lemah
2024-01-26 21:58:58,-8.34,119.92667,168.8,3.06,Lemah
2024-01-26 22:31:06,-0.35,122.02813,10.0,3.79,Lemah
2024-01-26 23:57:39,-6.35,120.23617,10.0,4.14,Sedang
2024-01-27 00:12:15,0.28,96.79391,41.3,3.56,Lemah
2024-01-27 01:47:26,-6.34,120.27282,10.0,4.57,Sedang
2024-01-27 05:05:46,-3.49,139.38065,83.5,4.09,Sedang
2024-01-27 07:36:55,0.15,100.01585,10.0,3.23,Lemah
2024-01-27 08:11:33,-0.6,100.50484,10.0,2.27,Lemah
2024-01-27 08:15:03,-0.62,100.49525,10.0,2.94,Lemah
2024-01-27 08:41:17,-0.52,100.52193,13.7,2.35,Lemah
2024-01-27 08:42:28,-0.59,100.48997,10.0,2.75,Lemah
2024-01-27 08:45:43,-0.52,100.60057,10.0,3.12,Lemah
2024-01-27 08:55:11,-8.37,121.17427,20.3,2.77,Lemah
2024-01-27 11:40:01,-8.2,121.17379,10.0,3.34,Lemah
2024-01-27 12:43:21,-8.27,121.16118,10.0,3.86,Lemah
2024-01-27 13:05:28,-0.57,123.35482,10.0,2.8,Lemah
2024-01-27 13:18:49,-8.25,121.15205,10.0,4.31,Sedang
2024-01-27 14:54:24,-9.28,120.0246,23.0,2.89,Lemah
2024-01-27 14:56:46,1.03,126.87862,52.8,3.01,Lemah
2024-01-27 15:10:55,-5.39,131.0658,18.8,4.19,Sedang
2024-01-27 16:17:45,-9.06,107.24253,30.4,4.18,Sedang
2024-01-27 16:35:41,0.21,97.08774,35.1,4.15,Sedang
2024-01-27 16:50:58,-0.61,100.51555,10.0,4.63,Sedang
2024-01-27 17:18:23,-8.57,119.12483,121.6,4.9,Sedang
2024-01-27 17:40:42,-3.83,99.72214,10.0,3.76,Lemah
2024-01-27 18:29:50,4.5,125.95834,151.6,5.31,Sedang
2024-01-27 18:42:54,-0.53,123.44924,10.0,3.4,Lemah
2024-01-27 18:59:48,1.69,128.62393,28.3,4.48,Sedang
2024-01-27 19:03:04,0.24,122.09652,173.0,2.65,Lemah
2024-01-27 19:36:48,-8.61,105.97166,10.0,3.25,Lemah
2024-01-27 19:55:05,-0.1,123.07324,133.9,3.13,Lemah
2024-01-27 20:04:55,1.68,128.6761,19.6,4.09,Sedang
2024-01-27 20:09:59,-7.2,107.62465,10.0,2.48,Lemah
2024-01-27 20:41:08,-2.44,121.01563,10.0,2.84,Lemah
2024-01-28 01:48:16,-0.12,100.32088,10.0,2.4,Lemah
2024-01-28 02:30:06,-3.05,130.52573,10.0,4.03,Sedang
2024-01-28 06:51:07,1.9,98.36689,54.6,2.83,Lemah
2024-01-28 07:21:16,4.89,95.84104,10.2,3.27,Lemah
2024-01-28 07:41:14,1.61,123.58966,10.0,4.28,Sedang
2024-01-28 08:13:41,-9.23,116.0326,20.4,3.54,Lemah
2024-01-28 09:49:17,-7.9,107.79316,57.3,3.04,Lemah
2024-01-28 10:37:26,-2.57,102.24394,5.0,3.89,Lemah
2024-01-28 10:39:42,1.8,127.40306,121.3,3.86,Lemah
2024-01-28 10:43:31,-8.06,107.90629,30.0,3.14,Lemah
2024-01-28 14:04:44,-2.31,140.50739,10.0,3.38,Lemah
2024-01-28 14:33:08,-2.32,140.51143,10.0,3.54,Lemah
2024-01-28 14:37:56,1.79,126.37818,29.9,3.27,Lemah
2024-01-28 15:18:16,-6.28,103.68305,13.1,3.37,Lemah
2024-01-28 17:23:05,4.51,96.49896,10.0,2.32,Lemah
2024-01-28 17:35:07,-8.34,121.25691,11.5,1.96,Lemah
2024-01-28 19:39:11,-7.82,123.27662,247.3,4.16,Sedang
2024-01-28 21:46:41,-1.44,121.2197,10.0,2.66,Lemah
2024-01-29 01:36:15,-8.76,124.37551,10.0,3.61,Lemah
2024-01-29 01:38:08,0.19,122.51022,139.2,2.89,Lemah
2024-01-29 01:44:43,-9.99,118.85729,31.9,4.28,Sedang
2024-01-29 03:01:10,-1.54,120.11065,10.0,3.08,Lemah
2024-01-29 03:46:19,-1.31,103.84444,51.3,5.39,Sedang
2024-01-29 03:47:12,-9.06,107.27782,71.3,3.5,Lemah
2024-01-29 04:06:42,3.49,125.85949,167.3,4.5,Sedang
2024-01-29 05:06:37,-8.55,118.40544,115.1,3.54,Lemah
2024-01-29 08:51:27,-3.37,138.07846,134.0,3.58,Lemah
2024-01-29 08:52:20,-8.77,118.85328,10.0,2.35,Lemah
2024-01-29 11:53:27,-8.39,119.82162,142.0,2.98,Lemah
2024-01-29 14:03:56,-2.88,128.88275,15.6,2.11,Lemah
2024-01-29 14:15:58,1.16,121.00964,10.0,3.37,Lemah
2024-01-29 15:21:05,-3.38,128.64516,10.0,3.43,Lemah
2024-01-29 16:04:59,-7.4,129.18336,175.7,4.49,Sedang
2024-01-29 16:34:19,0.46,98.32958,10.0,3.23,Lemah
2024-01-29 22:21:49,-9.98,119.75404,10.0,3.25,Lemah
2024-01-29 22:33:03,-10.01,119.76262,10.0,3.09,Lemah
2024-01-30 01:38:49,-3.53,102.44015,10.0,3.58,Lemah
2024-01-30 01:41:11,-0.2,121.49395,10.0,3.1,Lemah
2024-01-30 01:43:24,-8.72,111.73654,73.5,2.66,Lemah
2024-01-30 01:43:24,-8.72,111.73654,73.5,2.85,Lemah
2024-01-30 02:15:54,-1.1,120.33416,10.0,2.67,Lemah
2024-01-30 02:49:40,-1.62,120.36414,10.0,3.19,Lemah
2024-01-30 03:40:31,-0.09,123.3509,127.0,3.46,Lemah
2024-01-30 09:10:58,-2.14,139.84578,10.6,3.7,Lemah
2024-01-30 09:49:35,4.35,96.81038,10.0,3.97,Lemah
2024-01-30 09:58:21,-8.97,118.69998,68.6,3.54,Lemah
2024-01-30 11:53:56,-9.29,119.15462,38.8,3.23,Lemah
2024-01-30 14:28:12,-2.87,127.9013,19.3,3.16,Lemah
2024-01-30 18:05:28,1.95,126.60626,11.9,4.69,Sedang
2024-01-30 18:57:50,-8.43,107.89016,10.0,3.15,Lemah
2024-01-30 19:34:19,-9.95,119.10621,20.4,2.58,Lemah
2024-01-30 19:39:46,-8.86,115.82184,10.0,3.21,Lemah
2024-01-30 20:19:09,-10.06,118.9259,10.0,3.69,Lemah
2024-01-30 20:28:38,-8.23,121.18901,10.0,2.78,Lemah
2024-01-30 20:32:12,-1.35,120.39519,10.0,2.26,Lemah
2024-01-30 20:34:34,-3.26,122.32722,10.0,3.16,Lemah
2024-01-30 22:14:55,-4.55,129.69632,184.8,4.49,Sedang
2024-01-30 22:32:20,1.49,99.62647,165.4,2.79,Lemah
2024-01-30 22:47:35,-3.92,133.71361,10.0,3.59,Lemah
2024-01-30 22:53:59,-8.81,110.5077,14.2,2.81,Lemah
2024-01-30 23:04:58,-8.55,118.39264,113.9,2.81,Lemah
2024-01-30 23:28:15,-10.03,119.73772,10.6,2.44,Lemah
2024-01-01 00:03:15,-1.22,120.52097,10.0,3.08,Lemah
2024-01-01 00:20:10,0.68,124.02132,254.3,3.35,Lemah
2024-01-01 00:34:47,-2.96,139.87729,10.0,3.61,Lemah
2024-01-01 00:59:21,-6.97,107.18092,163.0,3.89,Lemah
2024-01-01 00:59:47,-2.99,139.87457,10.0,4.35,Sedang
2024-01-01 01:44:08,-1.52,119.82108,10.0,2.74,Lemah
2024-01-01 02:16:31,-3.44,128.54974,57.3,2.94,Lemah
2024-01-01 02:30:11,-5.52,104.89667,105.1,2.66,Lemah
2024-01-01 02:37:24,4.61,96.69286,125.3,2.85,Lemah
2024-01-01 03:13:25,-8.63,117.5436,115.0,2.43,Lemah
2024-01-01 03:20:07,-0.13,125.45974,10.0,3.95,Lemah
2024-01-01 03:22:45,4.62,96.61839,10.0,3.54,Lemah
2024-01-01 04:28:22,-2.99,139.90607,10.0,3.55,Lemah
2024-01-01 04:38:44,-8.34,116.95815,10.0,3.01,Lemah
2024-01-01 04:50:34,-1.12,120.37806,10.0,2.66,Lemah
2024-01-01 06:43:43,-5.84,130.72794,153.9,3.84,Lemah
2024-01-01 12:55:10,-2.96,127.75784,23.4,2.7,Lemah
2024-01-01 14:52:11,4.39,126.98346,35.8,4.22,Sedang
2024-01-01 15:01:37,-0.24,123.12696,95.3,3.74,Lemah
2024-01-01 16:23:05,-9.6,120.01225,36.2,2.74,Lemah
2024-01-01 16:31:23,-3.83,135.52768,27.8,2.83,Lemah
2024-01-01 16:46:48,-4.33,128.71785,10.0,3.47,Lemah
2024-01-01 17:56:27,2.11,97.85785,28.5,2.97,Lemah
2024-01-01 18:00:28,-2.86,139.4232,10.0,3.12,Lemah
2024-01-01 18:53:46,-8.46,116.59374,11.3,2.5,Lemah
2024-01-01 19:08:18,0.79,120.51018,10.0,2.8,Lemah
2024-01-01 19:27:31,-8.87,118.57807,10.0,2.1,Lemah
2024-01-01 19:32:56,-4.19,102.53942,35.1,2.52,Lemah
2024-01-01 21:25:30,-3.91,139.78943,22.3,3.71,Lemah
2024-01-02 01:03:56,-8.36,108.48797,34.6,3.95,Lemah
2024-01-02 03:37:36,-4.81,102.85735,26.6,3.69,Lemah
2024-01-02 04:46:31,-10.22,123.75008,40.0,4.91,Sedang
2024-01-02 05:56:40,0.44,98.25944,10.0,3.32,Lemah
2024-01-02 07:35:23,-6.79,107.94754,10.0,2.73,Lemah
2024-01-02 08:01:19,-0.95,127.70759,10.0,3.2,Lemah
2024-01-02 08:07:37,-2.16,120.46966,10.0,3.05,Lemah
2024-01-02 08:20:58,-3.1,127.9788,13.9,3.07,Lemah
2024-01-02 08:29:06,-8.46,116.33948,194.6,3.46,Lemah
2024-01-02 09:06:33,0.89,127.77818,11.8,3.01,Lemah
2024-01-02 09:23:35,-6.97,128.14865,280.4,3.99,Lemah
2024-01-02 09:30:33,0.89,127.78185,11.7,2.47,Lemah
2024-01-02 09:46:17,-9.83,119.53426,15.5,2.73,Lemah
2024-01-02 10:15:58,-8.92,119.31368,112.8,3.15,Lemah
2024-01-02 10:48:59,-2.51,139.50871,23.1,2.75,Lemah
2024-01-02 11:34:33,-0.15,120.38082,73.8,2.4,Lemah
2024-01-02 12:59:41,-7.8,118.87755,28.1,2.6,Lemah
2024-01-02 13:38:17,-1.79,128.93755,67.8,3.04,Lemah
2024-01-02 14:32:18,-9.64,119.13728,43.5,2.46,Lemah
2024-01-02 14:37:31,-10.06,123.95543,78.8,2.77,Lemah
